+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+
|    a-b    |    a-c    |    a-d    |    a-e    |    b-c    |    b-d    |    b-e    |    c-d    |    c-e    |   d-e    |
|  a29-b43  |  a29-c32  |  a29-d35  |  a29-e28  |  b29-c48  |  b29-d30  |  b29-e28  |  c29-d35  |  c29-e42  | d29-e41  |
|  a30-b44  |  a30-c32  |  a30-d39  |  a30-e29  |  b30-c49  |  b30-d31  |  b30-e28  |  c30-d41  |  c30-e42  | d30-e43  |
|  a31-b44  |  a31-c32  |  a31-d40  |  a31-e31  |  b31-c50  |  b31-d33  |  b31-e29  |  c31-d43  |  c31-e43  | d31-e44  |
|  a32-b46  |  a32-c32  |  a32-d42  |  a32-e34  |  b32-c51  |  b32-d34  |  b32-e32  |  c32-d44  |  c32-e46  | d32-e48  |
|  a33-b47  |  a33-c32  |  a33-d43  |  a33-e35  |  b33-c52  |  b33-d35  |  b33-e33  |  c33-d45  |  c33-e50  | d33-e48  |
|  a34-b49  |  a34-c33  |  a34-d43  |  a34-e37  |  b34-c52  |  b34-d35  |  b34-e35  |  c34-d46  |  c34-e51  | d34-e49  |
|  a35-b50  |  a35-c35  |  a35-d44  |  a35-e37  |  b35-c56  |  b35-d37  |  b35-e35  |  c35-d47  |  c35-e53  | d35-e50  |
|  a36-b51  |  a36-c35  |  a36-d45  |  a36-e38  |  b36-c64  |  b36-d38  |  b36-e35  |  c36-d47  |  c36-e58  | d36-e53  |
|  a37-b53  |  a37-c37  |  a37-d47  |  a37-e39  |  b37-c66  |  b37-d41  |  b37-e35  |  c37-d48  |  c37-e61  | d37-e55  |
|  a38-b55  |  a38-c42  |  a38-d48  |  a38-e39  |  b38-c68  |  b38-d44  |  b38-e36  |  c38-d48  |  c38-e62  | d38-e55  |
|  a39-b60  |  a39-c42  |  a39-d49  |  a39-e43  |  b39-c69  |  b39-d47  |  b39-e37  |  c39-d49  |  c39-e64  | d39-e55  |
|  a40-b60  |  a40-c44  |  a40-d50  |  a40-e47  |  b40-c70  |  b40-d49  |  b40-e37  |  c40-d49  |  c40-e64  | d40-e57  |
|  a41-b60  |  a41-c44  |  a41-d51  |  a41-e51  |  b41-c72  |  b41-d50  |  b41-e38  |  c41-d49  |  c41-e64  | d41-e66  |
|  a42-b62  |  a42-c46  |  a42-d52  |  a42-e53  |  b42-c74  |  b42-d50  |  b42-e39  |  c42-d50  |  c42-e66  | d42-e68  |
|  a43-b63  |  a43-c47  |  a43-d53  |  a43-e54  |  b43-c74  |  b43-d51  |  b43-e39  |  c43-d51  |  c43-e67  | d43-e68  |
|  a44-b64  |  a44-c49  |  a44-d53  |  a44-e54  |  b44-c75  |  b44-d52  |  b44-e44  |  c44-d52  |  c44-e68  | d44-e69  |
|  a45-b64  |  a45-c53  |  a45-d54  |  a45-e55  |  b45-c75  |  b45-d52  |  b45-e44  |  c45-d53  |  c45-e68  | d45-e71  |
|  a46-b65  |  a46-c57  |  a46-d57  |  a46-e57  |  b46-c75  |  b46-d53  |  b46-e46  |  c46-d58  |  c46-e69  | d46-e71  |
|  a47-b65  |  a47-c57  |  a47-d60  |  a47-e59  |  b47-c75  |  b47-d54  |  b47-e47  |  c47-d59  |  c47-e69  | d47-e71  |
|  a48-b67  |  a48-c60  |  a48-d60  |  a48-e60  |  b48-c75  |  b48-d56  |  b48-e48  |  c48-d61  |  c48-e71  | d48-e73  |
|  a49-b68  |  a49-c61  |  a49-d61  |  a49-e61  |  b49-c76  |  b49-d58  |  b49-e48  |  c49-d62  |  c49-e72  | d49-e75  |
|  a50-b68  |  a50-c66  |  a50-d61  |  a50-e61  |  b50-c76  |  b50-d59  |  b50-e48  |  c50-d64  |  c50-e74  | d50-e77  |
|  a51-b73  |  a51-c68  |  a51-d64  |  a51-e62  |  b51-c79  |  b51-d62  |  b51-e48  |  c51-d65  |  c51-e76  | d51-e78  |
|  a52-b73  |  a52-c68  |  a52-d65  |  a52-e63  |  b52-c79  |  b52-d66  |  b52-e49  |  c52-d66  |  c52-e78  | d52-e78  |
|  a53-b76  |  a53-c69  |  a53-d65  |  a53-e64  |  b53-c80  |  b53-d72  |  b53-e51  |  c53-d67  |  c53-e78  | d53-e79  |
|  a54-b76  |  a54-c72  |  a54-d67  |  a54-e65  |  b54-c81  |  b54-d75  |  b54-e54  |  c54-d70  |  c54-e79  | d54-e79  |
|  a55-b76  |  a55-c72  |  a55-d68  |  a55-e66  |  b55-c81  |  b55-d77  |  b55-e57  |  c55-d73  |  c55-e80  | d55-e80  |
|  a56-b77  |  a56-c74  |  a56-d68  |  a56-e68  |  b56-c82  |  b56-d77  |  b56-e60  |  c56-d79  |  c56-e81  | d56-e81  |
|  a57-b78  |  a57-c76  |  a57-d72  |  a57-e69  |  b57-c95  |  b57-d80  |  b57-e62  |  c57-d82  |  c57-e82  | d57-e81  |
|  a58-b81  |  a58-c77  |  a58-d73  |  a58-e69  |  b58-c95  |  b58-d80  |  b58-e65  |  c58-d82  |  c58-e83  | d58-e82  |
|  a59-b81  |  a59-c78  |  a59-d75  |  a59-e70  |  b59-c97  |  b59-d84  |  b59-e66  |  c59-d82  |  c59-e85  | d59-e84  |
|  a60-b83  |  a60-c78  |  a60-d75  |  a60-e73  |  b60-c98  |  b60-d85  |  b60-e72  |  c60-d82  |  c60-e87  | d60-e84  |
|  a61-b83  |  a61-c78  |  a61-d76  |  a61-e76  |  b61-c100 |  b61-d86  |  b61-e72  |  c61-d83  |  c61-e89  | d61-e84  |
|  a62-b84  |  a62-c79  |  a62-d78  |  a62-e76  |           |  b62-d87  |  b62-e72  |  c62-d87  |  c62-e89  | d62-e86  |
|  a63-b85  |  a63-c81  |  a63-d79  |  a63-e76  |           |  b63-d90  |  b63-e73  |  c63-d87  |  c63-e89  | d63-e87  |
|  a64-b85  |  a64-c81  |  a64-d79  |  a64-e77  |           |  b64-d90  |  b64-e75  |  c64-d88  |  c64-e90  | d64-e89  |
|  a65-b89  |  a65-c82  |  a65-d79  |  a65-e78  |           |  b65-d91  |  b65-e77  |  c65-d90  |  c65-e91  | d65-e89  |
|  a66-b90  |  a66-c82  |  a66-d81  |  a66-e79  |           |  b66-d91  |  b66-e77  |  c66-d90  |  c66-e91  | d66-e89  |
|  a67-b90  |  a67-c84  |  a67-d82  |  a67-e80  |           |  b67-d93  |  b67-e79  |  c67-d92  |  c67-e92  | d67-e90  |
|  a68-b91  |  a68-c85  |  a68-d83  |  a68-e81  |           |  b68-d95  |  b68-e79  |  c68-d93  |  c68-e93  | d68-e91  |
|  a69-b91  |  a69-c85  |  a69-d83  |  a69-e82  |           |  b69-d98  |  b69-e80  |  c69-d96  |  c69-e99  | d69-e95  |
|  a70-b92  |  a70-c85  |  a70-d84  |  a70-e82  |           |  b70-d100 |  b70-e82  |  c70-d97  |  c70-e99  | d70-e95  |
|  a71-b92  |  a71-c85  |  a71-d85  |  a71-e83  |           |           |  b71-e86  |  c71-d97  |           | d71-e97  |
|  a72-b93  |  a72-c86  |  a72-d86  |  a72-e84  |           |           |  b72-e88  |  c72-d97  |           | d72-e100 |
|  a73-b93  |  a73-c86  |  a73-d86  |  a73-e84  |           |           |  b73-e89  |  c73-d98  |           | d73-e100 |
|  a74-b98  |  a74-c89  |  a74-d87  |  a74-e87  |           |           |  b74-e89  |           |           |          |
|  a75-b98  |  a75-c96  |  a75-d88  |  a75-e92  |           |           |  b75-e89  |           |           |          |
|  a76-b99  |  a76-c97  |  a76-d90  |  a76-e93  |           |           |  b76-e89  |           |           |          |
|  a77-b99  |  a77-c99  |  a77-d91  |  a77-e98  |           |           |  b77-e90  |           |           |          |
|           |  a78-c100 |  a78-d92  |  a78-e98  |           |           |  b78-e91  |           |           |          |
|           |           |  a79-d92  |  a79-e98  |           |           |  b79-e94  |           |           |          |
|           |           |  a80-d93  |  a80-e99  |           |           |  b80-e97  |           |           |          |
|           |           |  a81-d93  |           |           |           |  b81-e98  |           |           |          |
|           |           |  a82-d93  |           |           |           |  b82-e98  |           |           |          |
|           |           |  a83-d94  |           |           |           |  b83-e100 |           |           |          |
|           |           |  a84-d96  |           |           |           |           |           |           |          |
|           |           |  a85-d100 |           |           |           |           |           |           |          |
|           |           |  a86-d100 |           |           |           |           |           |           |          |
|           |           |           |           |           |           |           |           |           |          |
| PI : 0.49 | PI : 0.48 | PI : 0.58 | PI : 0.54 | PI : 0.46 | PI : 0.52 | PI : 0.54 | PI : 0.52 | PI : 0.54 | PI : 0.5 |
+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+
